TableName,ProductID,ProductName,Category,Brand,Price,LaunchDate,StockQuantity,Description,SalesID,Date,UnitsSold,Revenue,CustomerSegment,ReviewID,ReviewerName,ReviewDate,ReviewText,Rating,SentimentScore,CustomerID,Name,Email,AgeGroup,Location,ScrapingID,Timestamp,Website,Status,Comments
Products,1.0,Product 1,Clothing,Brand1,973.26,2023-12-22,88.0,Marriage financial loss our there while.,,,,,,,,,,,,,,,,,,,,,
Products,2.0,Product 2,Clothing,Brand2,260.16,2022-06-19,14.0,Far believe win recent.,,,,,,,,,,,,,,,,,,,,,
Products,3.0,Product 3,Clothing,Brand3,752.97,2024-07-03,91.0,Age number development including owner measure factor.,,,,,,,,,,,,,,,,,,,,,
Products,4.0,Product 4,Beauty,Brand4,72.57,2025-04-18,15.0,Body network would likely yeah always similar.,,,,,,,,,,,,,,,,,,,,,
Products,5.0,Product 5,Beauty,Brand5,755.12,2022-07-29,96.0,Perform film across response.,,,,,,,,,,,,,,,,,,,,,
Products,6.0,Product 6,Beauty,Brand6,568.91,2024-07-26,92.0,Impact as moment get remain boy minute.,,,,,,,,,,,,,,,,,,,,,
Products,7.0,Product 7,Clothing,Brand7,982.8,2025-02-16,87.0,Focus together worry including focus team.,,,,,,,,,,,,,,,,,,,,,
Products,8.0,Product 8,Home,Brand8,363.93,2023-10-12,45.0,Both until eight newspaper type.,,,,,,,,,,,,,,,,,,,,,
Products,9.0,Product 9,Clothing,Brand9,616.46,2024-02-26,27.0,Firm TV voice magazine begin threat garden.,,,,,,,,,,,,,,,,,,,,,
Products,10.0,Product 10,Beauty,Brand10,508.95,2023-09-24,23.0,Beyond statement account.,,,,,,,,,,,,,,,,,,,,,
Products,11.0,Product 11,Home,Brand11,162.34,2023-08-09,44.0,Several turn owner.,,,,,,,,,,,,,,,,,,,,,
Products,12.0,Product 12,Clothing,Brand12,678.85,2023-09-01,39.0,Chance task mind might possible collection debate.,,,,,,,,,,,,,,,,,,,,,
Products,13.0,Product 13,Electronics,Brand13,698.18,2024-10-10,78.0,Chair business must system recently fall full natural.,,,,,,,,,,,,,,,,,,,,,
Products,14.0,Product 14,Beauty,Brand14,508.18,2022-12-30,19.0,Occur foot difference hot table order.,,,,,,,,,,,,,,,,,,,,,
Products,15.0,Product 15,Clothing,Brand15,513.91,2022-05-30,61.0,Head everything middle add firm.,,,,,,,,,,,,,,,,,,,,,
SalesData,,,,,,,,,1.0,14.0,2023-06-03,20.0,10163.6,Retail,,,,,,,,,,,,,,,
SalesData,,,,,,,,,2.0,3.0,2024-02-07,11.0,8282.67,Retail,,,,,,,,,,,,,,,
SalesData,,,,,,,,,3.0,15.0,2023-12-24,18.0,9250.38,Online,,,,,,,,,,,,,,,
SalesData,,,,,,,,,4.0,5.0,2023-05-19,20.0,15102.4,Retail,,,,,,,,,,,,,,,
SalesData,,,,,,,,,5.0,2.0,2023-05-03,2.0,520.32,Online,,,,,,,,,,,,,,,
SalesData,,,,,,,,,6.0,9.0,2025-01-21,4.0,2465.84,Retail,,,,,,,,,,,,,,,
SalesData,,,,,,,,,7.0,2.0,2023-07-02,4.0,1040.64,Online,,,,,,,,,,,,,,,
SalesData,,,,,,,,,8.0,10.0,2024-02-25,20.0,10179.0,Retail,,,,,,,,,,,,,,,
SalesData,,,,,,,,,9.0,12.0,2024-07-15,1.0,678.85,Online,,,,,,,,,,,,,,,
SalesData,,,,,,,,,10.0,3.0,2023-07-14,11.0,8282.67,Online,,,,,,,,,,,,,,,
SalesData,,,,,,,,,11.0,10.0,2025-01-15,4.0,2035.8,Online,,,,,,,,,,,,,,,
SalesData,,,,,,,,,12.0,14.0,2023-12-02,5.0,2540.9,Online,,,,,,,,,,,,,,,
SalesData,,,,,,,,,13.0,11.0,2023-12-03,9.0,1461.06,Online,,,,,,,,,,,,,,,
SalesData,,,,,,,,,14.0,3.0,2024-04-08,17.0,12800.49,Online,,,,,,,,,,,,,,,
SalesData,,,,,,,,,15.0,7.0,2023-05-12,1.0,982.8,Retail,,,,,,,,,,,,,,,
SalesData,,,,,,,,,16.0,3.0,2024-09-01,9.0,6776.73,Retail,,,,,,,,,,,,,,,
SalesData,,,,,,,,,17.0,10.0,2024-02-18,7.0,3562.65,Retail,,,,,,,,,,,,,,,
SalesData,,,,,,,,,18.0,7.0,2025-03-05,5.0,4914.0,Online,,,,,,,,,,,,,,,
SalesData,,,,,,,,,19.0,11.0,2023-11-13,1.0,162.34,Online,,,,,,,,,,,,,,,
SalesData,,,,,,,,,20.0,8.0,2024-05-19,16.0,5822.88,Retail,,,,,,,,,,,,,,,
SalesData,,,,,,,,,21.0,10.0,2023-08-19,2.0,1017.9,Retail,,,,,,,,,,,,,,,
SalesData,,,,,,,,,22.0,5.0,2025-02-26,17.0,12837.04,Online,,,,,,,,,,,,,,,
SalesData,,,,,,,,,23.0,8.0,2024-02-25,17.0,6186.81,Online,,,,,,,,,,,,,,,
SalesData,,,,,,,,,24.0,9.0,2024-10-14,13.0,8013.98,Retail,,,,,,,,,,,,,,,
SalesData,,,,,,,,,25.0,3.0,2023-12-12,10.0,7529.7,Retail,,,,,,,,,,,,,,,
SalesData,,,,,,,,,26.0,14.0,2023-07-24,7.0,3557.26,Online,,,,,,,,,,,,,,,
